step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
116,11,930,84.54545454545455,0.28172826766967773,0.5884243955097872,3,3,0.4,-0.044432711226437105,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
117,7,593,84.71428571428571,0.29875727494557697,0.6671475762340778,3,2,0.6666666666666666,-0.06245337552695612,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
118,5,418,83.6,0.7683048248291016,1.3301658841419453,3,2,0.6666666666666666,0.14639848956048007,0.08648252383236722,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,DRIFT
119,5,418,83.6,0.7683048248291016,1.3301658841419453,3,2,0.6666666666666666,0.14639848956048007,0.0980268519437768,0.1900081828313001,SUSPICIOUS,False,2,0,False,True,DRIFT
120,1,81,81.0,0.0,0.0,1,1,0.0,0.058809292228900634,0.10726231443290447,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
121,1,81,81.0,0.0,0.0,1,1,0.0,0.058809292228900634,0.11465068442420662,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
122,7,593,84.71428571428571,0.6828269163767496,1.5268474018849767,3,2,0.6666666666666666,0.14879900404981483,0.12100024545146132,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,DRIFT
123,6,512,85.33333333333333,0.0,0.0,2,1,1.0,0.05631939841190481,0.12607989427326508,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
124,6,512,85.33333333333333,0.0,0.0,2,1,1.0,0.05631939841190481,0.13014361333070806,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
125,9,768,85.33333333333333,0.4796287417411804,1.268978372285988,2,1,1.0,0.12577737928634114,0.13339458857666248,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
126,9,768,85.33333333333333,0.4796287417411804,1.268978372285988,2,1,1.0,0.12577737928634114,0.135995368773426,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
127,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.13807599293083683,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
128,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1397404922567655,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
129,6,512,85.33333333333333,0.8193933486938476,1.638786697387695,2,1,1.0,0.19270993309962092,0.1410720917175084,0.1900081828313001,SUSPICIOUS,False,1,1,True,True,DRIFT
130,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.14213737128610274,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
131,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1429895949409782,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
132,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1436713738648786,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
133,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.14421679700399892,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
134,2,102,51.0,0.0,0.0,0,0,0.0,0.13238673935916245,0.14465313551529516,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
135,5,358,71.6,0.25569140911102295,0.4428705116391715,2,1,0.0,0.13039281782298096,0.14500220632433214,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
136,5,358,71.6,0.25569140911102295,0.4428705116391715,2,1,0.0,0.13039281782298096,0.14528146297156175,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
137,5,358,71.6,0.25569140911102295,0.4428705116391715,2,1,0.0,0.13039281782298096,0.14550486828934542,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
138,5,358,71.6,0.25569140911102295,0.4428705116391715,2,1,0.0,0.13039281782298096,0.14568359254357235,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
139,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.14582657194695392,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
141,2,196,98.0,0.25018739700317383,0.0,2,0,0.0,0.10727561128793717,0.14594095546965916,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
142,2,196,98.0,0.25018739700317383,0.0,2,0,0.0,0.10727561128793717,0.14603246228782335,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
143,2,196,98.0,0.25018739700317383,0.0,2,0,0.0,0.10727561128793717,0.1461056677423547,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
144,2,196,98.0,0.25018739700317383,0.0,2,0,0.0,0.10727561128793717,0.14616423210597979,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
145,4,354,88.5,1.448667049407959,1.8745999891698446,2,1,0.0,0.17580399032990845,0.14621108359687984,0.1900081828313001,SUSPICIOUS,False,1,0,False,False,DRIFT
146,5,376,75.2,0.2559360861778259,0.44329430475032117,2,1,1.0,0.134049461245071,0.1462485647895999,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
147,5,376,75.2,0.2559360861778259,0.44329430475032117,2,1,1.0,0.134049461245071,0.14627854974377597,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
148,5,376,75.2,0.2559360861778259,0.44329430475032117,2,1,1.0,0.134049461245071,0.1463025377071168,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
149,5,376,75.2,0.2559360861778259,0.44329430475032117,2,1,1.0,0.134049461245071,0.14632172807778945,0.1900081828313001,NORMAL,False,0,0,False,True,DRIFT
150,3,218,72.66666666666667,0.0,0.0,2,1,0.0,0.13238673935916245,0.14633708037432758,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
151,4,298,74.5,0.0,0.0,2,1,0.0,0.10859439875365406,0.14523794966317127,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
152,4,298,74.5,0.0,0.0,2,1,0.0,0.10859439875365406,0.14300025197955124,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
153,4,298,74.5,0.0,0.0,2,1,0.0,0.10859439875365406,0.1412100938326552,0.1900081828313001,NORMAL,False,0,0,False,False,DRIFT
